Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"086790","HANA FINANCIAL GROUP INC","Financials","Aktien","34.181.280,17","0,15","34.181.280,17","737.561,00","46,34","Korea","Korea Exchange (Stock Market)","KRW"
"1088","CHINA SHENHUA ENERGY LTD H","Energie","Aktien","34.107.157,76","0,15","34.107.157,76","8.368.500,00","4,08","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"373220","LG ENERGY SOLUTION LTD","Industrie","Aktien","34.101.458,40","0,15","34.101.458,40","115.191,00","296,04","Korea","Korea Exchange (Stock Market)","KRW"
"2015","LI AUTO CLASS A INC","Zyklische Konsumgüter ","Aktien","33.733.299,26","0,15","33.733.299,26","3.075.336,00","10,97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TATASTEEL","TATA STEEL LTD","Materialien","Aktien","33.668.733,72","0,15","33.668.733,72","18.508.867,00","1,82","Indien","National Stock Exchange Of India","INR"
"2357","ASUSTEK COMPUTER INC","IT","Aktien","33.612.951,67","0,15","33.612.951,67","1.818.000,00","18,49","Taiwan","Taiwan Stock Exchange","TWD"
"600519","KWEICHOW MOUTAI LTD A","Nichtzyklische Konsumgüter","Aktien","33.604.518,71","0,15","33.604.518,71","187.486,00","179,24","China","Shanghai Stock Exchange","CNY"
"GFI","GOLD FIELDS LTD","Materialien","Aktien","33.485.578,80","0,15","33.485.578,80","2.225.931,00","15,04","Südafrika","Johannesburg Stock Exchange","ZAR"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Nichtzyklische Konsumgüter","Aktien","32.951.676,57","0,14","32.951.676,57","11.955.736,00","2,76","Taiwan","Taiwan Stock Exchange","TWD"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Aktien","32.416.923,94","0,14","32.416.923,94","68.810.000,00","0,47","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Aktien","32.208.577,34","0,14","32.208.577,34","2.215.192,00","14,54","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Aktien","32.055.812,95","0,14","32.055.812,95","36.335.605,00","0,88","Taiwan","Taiwan Stock Exchange","TWD"
"1211","SAUDI ARABIAN MINING","Materialien","Aktien","31.439.722,42","0,14","31.439.722,42","2.815.656,00","11,17","Saudi-Arabien","Saudi Stock Exchange","SAR"
"1024","KUAISHOU TECHNOLOGY","Kommunikation","Aktien","31.102.863,87","0,14","31.102.863,87","5.845.500,00","5,32","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BAP","CREDICORP LTD","Financials","Aktien","30.647.978,40","0,13","30.647.978,40","170.836,00","179,40","Peru","New York Stock Exchange Inc.","USD"
"BEL","BHARAT ELECTRONICS LTD","Industrie","Aktien","30.598.662,11","0,13","30.598.662,11","9.219.939,00","3,32","Indien","National Stock Exchange Of India","INR"
"2020","ANTA SPORTS PRODUCTS LTD","Zyklische Konsumgüter ","Aktien","30.327.811,40","0,13","30.327.811,40","3.167.000,00","9,58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SHRIRAMFIN","SHRIRAM FINANCE LTD","Financials","Aktien","30.143.958,84","0,13","30.143.958,84","713.216,00","42,26","Indien","National Stock Exchange Of India","INR"
"JIOFIN","JIO FINANCIAL SERVICES LTD","Financials","Aktien","30.009.063,71","0,13","30.009.063,71","7.086.400,00","4,23","Indien","National Stock Exchange Of India","INR"
"OTP","OTP BANK","Financials","Aktien","29.978.536,59","0,13","29.978.536,59","569.148,00","52,67","Ungarn","Budapest Stock Exchange","HUF"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Aktien","29.048.265,47","0,13","29.048.265,47","10.817.771,00","2,69","Brasilien","XBSP","BRL"
"CPALL.R","CP ALL NON-VOTING DR PCL","Nichtzyklische Konsumgüter","Aktien","28.748.453,45","0,13","28.748.453,45","14.620.800,00","1,97","Thailand","Stock Exchange Of Thailand","THB"
"ANG","ANGLOGOLD ASHANTI PLC","Materialien","Aktien","28.620.831,28","0,13","28.620.831,28","1.017.090,00","28,14","Südafrika","Johannesburg Stock Exchange","ZAR"
"051910","LG CHEM LTD","Materialien","Aktien","28.284.032,50","0,12","28.284.032,50","118.784,00","238,11","Korea","Korea Exchange (Stock Market)","KRW"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Aktien","28.158.636,23","0,12","28.158.636,23","18.280.000,00","1,54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
