Fondsposition per,"20.Sept.2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","3.983.277,69","0,40","3.983.277,69","97.776,00","40,74","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BMW","BMW AG","Zyklische Konsumgüter ","Aktien","3.825.992,11","0,38","3.825.992,11","46.626,00","82,06","Deutschland","Xetra","EUR"
"6954","FANUC CORP","Industrie","Aktien","3.763.641,08","0,37","3.763.641,08","137.100,00","27,45","Japan","Tokyo Stock Exchange","JPY"
"NTAP","NETAPP INC","IT","Aktien","3.631.156,20","0,36","3.631.156,20","29.710,00","122,22","Vereinigte Staaten","NASDAQ","USD"
"6301","KOMATSU LTD","Industrie","Aktien","3.586.233,25","0,36","3.586.233,25","134.400,00","26,68","Japan","Tokyo Stock Exchange","JPY"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Materialien","Aktien","3.571.169,00","0,35","3.571.169,00","37.975,00","94,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrie","Aktien","3.529.745,44","0,35","3.529.745,44","16.952,00","208,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CABK","CAIXABANK SA","Financials","Aktien","3.319.228,41","0,33","3.319.228,41","540.217,00","6,14","Spanien","Bolsa De Madrid","EUR"
"MRK","MERCK","Gesundheitsversorgung","Aktien","3.263.622,57","0,32","3.263.622,57","18.590,00","175,56","Deutschland","Xetra","EUR"
"K","KELLANOVA","Nichtzyklische Konsumgüter","Aktien","3.219.955,26","0,32","3.219.955,26","39.846,00","80,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Aktien","3.134.152,32","0,31","3.134.152,32","210.912,00","14,86","Vereinigte Staaten","NASDAQ","USD"
"RF","REGIONS FINANCIAL CORP","Financials","Aktien","3.058.492,95","0,30","3.058.492,95","132.345,00","23,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FMG","FORTESCUE LTD","Materialien","Aktien","2.959.765,49","0,29","2.959.765,49","247.122,00","11,98","Australien","Asx - All Markets","AUD"
"KBC","KBC GROEP","Financials","Aktien","2.850.078,32","0,28","2.850.078,32","36.065,00","79,03","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"USD","USD CASH","Cash und/oder Derivate","Geldmarkt","2.731.271,08","0,27","2.731.271,08","2.731.271,00","100,00","Vereinigte Staaten","-","USD"
"BBY","BEST BUY INC","Zyklische Konsumgüter ","Aktien","2.717.686,30","0,27","2.717.686,30","27.931,00","97,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KER","KERING SA","Zyklische Konsumgüter ","Aktien","2.689.673,94","0,27","2.689.673,94","10.716,00","251,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"WSM","WILLIAMS SONOMA INC","Zyklische Konsumgüter ","Aktien","2.616.377,42","0,26","2.616.377,42","17.582,00","148,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BXB","BRAMBLES LTD","Industrie","Aktien","2.568.131,03","0,25","2.568.131,03","202.262,00","12,70","Australien","Asx - All Markets","AUD"
"AV.","AVIVA PLC","Financials","Aktien","2.518.746,97","0,25","2.518.746,97","385.718,00","6,53","Vereinigtes Königreich","London Stock Exchange","GBP"
"SOON","SONOVA HOLDING AG","Gesundheitsversorgung","Aktien","2.507.271,17","0,25","2.507.271,17","7.297,00","343,60","Schweiz","SIX Swiss Exchange","CHF"
"QBE","QBE INSURANCE GROUP LTD","Financials","Aktien","2.452.625,08","0,24","2.452.625,08","216.442,00","11,33","Australien","Asx - All Markets","AUD"
"UPM","UPM-KYMMENE","Materialien","Aktien","2.450.036,28","0,24","2.450.036,28","75.402,00","32,49","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"COLO B","COLOPLAST B","Gesundheitsversorgung","Aktien","2.443.561,39","0,24","2.443.561,39","18.169,00","134,49","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"DGX","QUEST DIAGNOSTICS INC","Gesundheitsversorgung","Aktien","2.428.563,26","0,24","2.428.563,26","15.874,00","152,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"1928","SEKISUI HOUSE LTD","Zyklische Konsumgüter ","Aktien","2.357.281,82","0,23","2.357.281,82","86.000,00","27,41","Japan","Tokyo Stock Exchange","JPY"
"KPN","KONINKLIJKE KPN NV","Kommunikation","Aktien","2.298.305,95","0,23","2.298.305,95","568.824,00","4,04","Niederlande","Euronext Amsterdam","EUR"
"REP","REPSOL SA","Energie","Aktien","2.281.467,68","0,23","2.281.467,68","175.370,00","13,01","Spanien","Bolsa De Madrid","EUR"
"SWKS","SKYWORKS SOLUTIONS INC","IT","Aktien","2.235.477,92","0,22","2.235.477,92","22.867,00","97,76","Vereinigte Staaten","NASDAQ","USD"
"CAG","CONAGRA BRANDS INC","Nichtzyklische Konsumgüter","Aktien","2.216.167,60","0,22","2.216.167,60","68.612,00","32,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6971","KYOCERA CORP","IT","Aktien","2.185.616,37","0,22","2.185.616,37","184.500,00","11,85","Japan","Tokyo Stock Exchange","JPY"
"9101","NIPPON YUSEN","Industrie","Aktien","2.129.168,14","0,21","2.129.168,14","60.800,00","35,02","Japan","Tokyo Stock Exchange","JPY"
"SGE","SAGE GROUP PLC","IT","Aktien","1.944.263,57","0,19","1.944.263,57","144.807,00","13,43","Vereinigtes Königreich","London Stock Exchange","GBP"
"4307","NOMURA RESEARCH INSTITUTE LTD","IT","Aktien","1.941.769,65","0,19","1.941.769,65","54.300,00","35,76","Japan","Tokyo Stock Exchange","JPY"
"LOGN","LOGITECH INTERNATIONAL SA","IT","Aktien","1.937.884,29","0,19","1.937.884,29","22.452,00","86,31","Schweiz","SIX Swiss Exchange","CHF"
"SN.","SMITH AND NEPHEW PLC","Gesundheitsversorgung","Aktien","1.916.738,71","0,19","1.916.738,71","125.502,00","15,27","Vereinigtes Königreich","London Stock Exchange","GBP"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrie","Aktien","1.896.595,01","0,19","1.896.595,01","6.958,00","272,58","Schweiz","SIX Swiss Exchange","CHF"
"16","SUN HUNG KAI PROPERTIES LTD","Immobilien","Aktien","1.869.238,72","0,19","1.869.238,72","179.000,00","10,44","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"JNPR","JUNIPER NETWORKS INC","IT","Aktien","1.814.685,00","0,18","1.814.685,00","46.650,00","38,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NN","NN GROUP NV","Financials","Aktien","1.775.867,96","0,18","1.775.867,96","35.463,00","50,08","Niederlande","Euronext Amsterdam","EUR"
"9104","MITSUI OSK LINES LTD","Industrie","Aktien","1.748.191,23","0,17","1.748.191,23","50.500,00","34,62","Japan","Tokyo Stock Exchange","JPY"
"CHRW","CH ROBINSON WORLDWIDE INC","Industrie","Aktien","1.725.239,40","0,17","1.725.239,40","16.557,00","104,20","Vereinigte Staaten","NASDAQ","USD"
"POLI","BANK HAPOALIM BM","Financials","Aktien","1.703.322,04","0,17","1.703.322,04","184.966,00","9,21","Israel","Tel Aviv Stock Exchange","ILS"
"WPP","WPP PLC","Kommunikation","Aktien","1.589.602,05","0,16","1.589.602,05","155.609,00","10,22","Vereinigtes Königreich","London Stock Exchange","GBP"
"LKQ","LKQ CORP","Zyklische Konsumgüter ","Aktien","1.539.144,69","0,15","1.539.144,69","38.469,00","40,01","Vereinigte Staaten","NASDAQ","USD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash und/oder Derivate","Money Market","1.531.804,46","0,15","1.531.804,46","1.531.804,00","1,00","Irland","-","USD"
"A5G","AIB GROUP PLC","Financials","Aktien","1.522.383,62","0,15","1.522.383,62","245.503,00","6,20","Irland","Irish Stock Exchange - All Market","EUR"
"PNDORA","PANDORA","Zyklische Konsumgüter ","Aktien","1.475.215,88","0,15","1.475.215,88","8.620,00","171,14","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ABBN","ABB LTD","Industrie","Aktien","1.453.458,56","0,14","1.453.458,56","25.729,00","56,49","Schweiz","SIX Swiss Exchange","CHF"
"SRG","SNAM","Versorger","Aktien","1.431.541,05","0,14","1.431.541,05","285.172,00","5,02","Italien","Borsa Italiana","EUR"
"CPB","CAMPBELL SOUP","Nichtzyklische Konsumgüter","Aktien","1.425.788,82","0,14","1.425.788,82","27.842,00","51,21","Vereinigte Staaten","NASDAQ","USD"
"INTU","INTUIT INC","IT","Aktien","1.414.463,07","0,14","1.414.463,07","2.193,00","644,99","Vereinigte Staaten","NASDAQ","USD"
